outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,primary_near_threshold,primary_union_positive,selection_reason,primary_consensus_class,primary_threshold_distance_min,stability_job_id
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,0.668148148148148,0.714074074074074,0.531851851851852,TRUE,TRUE,FALSE,,,,,,,,,,0.596296296296296,0.620740740740741,0.52962962962963,0.668148148148148,0.714074074074074,0.531851851851852,0.706748235346104,0.771085911505323,0.584476062491148,0.592592592592593,0.481481481481482,0.259259259259259,0.6,0.76,0.8,0.615384615384615,0.68421052631579,0.583333333333333,0.576923076923077,0.575757575757576,0.5,0.519230769230769,0.519230769230769,0.519230769230769,0.519230769230769,0.519230769230769,0.519230769230769,2,GigaSSL+ProvGigaPath,ProvGigaPath,FALSE,TRUE,union-positive,exactly two,0.068148148148148,1
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,0.715623518255097,0.746028923660503,0.726084637268848,TRUE,TRUE,TRUE,,,,,,,,,,0.670637743006164,0.662695590327169,0.662339971550498,0.715623518255097,0.746028923660503,0.726084637268848,0.743198518775531,0.780962596734015,0.777415577531249,0.706140350877193,0.710526315789474,0.736842105263158,0.635135135135135,0.614864864864865,0.587837837837838,0.748837209302326,0.73972602739726,0.733624454148472,0.583850931677019,0.579617834394905,0.591836734693878,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,0.606382978723404,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,FALSE,TRUE,union-positive,all three,0.115623518255097,2
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,0.676929392446634,0.600574712643678,0.619594964422551,TRUE,TRUE,TRUE,,,,,,,,,,0.642651888341544,0.56568144499179,0.613300492610837,0.676929392446634,0.600574712643678,0.619594964422551,0.486643303685734,0.429948077415475,0.409355323338849,0.773809523809524,0.642857142857143,0.738095238095238,0.511494252873563,0.488505747126437,0.488505747126437,0.433333333333333,0.377622377622378,0.410596026490066,0.824074074074074,0.739130434782609,0.794392523364486,0.325581395348837,0.325581395348837,0.325581395348837,0.325581395348837,0.325581395348837,0.325581395348837,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL,TRUE,TRUE,union-positive and near-threshold,all three,0.000574712643678033,3
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,0.763461056849487,0.76481342349111,0.745679939894816,TRUE,TRUE,TRUE,,,,,,,,,,0.671900826446281,0.697520661157025,0.68305785123967,0.763461056849487,0.76481342349111,0.745679939894816,0.675578194747776,0.701434427014478,0.653107823347614,0.690909090909091,0.709090909090909,0.618181818181818,0.652892561983471,0.685950413223141,0.747933884297521,0.575757575757576,0.606217616580311,0.625766871165644,0.755980861244019,0.775700934579439,0.741803278688525,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,FALSE,TRUE,union-positive,all three,0.145679939894816,4
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,0.544172932330827,0.581766917293233,0.512922932330827,FALSE,FALSE,FALSE,,,,,,,,,,0.537124060150376,0.524906015037594,0.516917293233083,0.544172932330827,0.581766917293233,0.512922932330827,0.619406810861516,0.652576229281616,0.616773724034894,0.592105263157895,0.460526315789474,0.605263157894737,0.482142857142857,0.589285714285714,0.428571428571429,0.608108108108108,0.603448275862069,0.58974358974359,0.46551724137931,0.445945945945946,0.444444444444444,0.575757575757576,0.575757575757576,0.575757575757576,0.575757575757576,0.575757575757576,0.575757575757576,0,None,ProvGigaPath,TRUE,FALSE,near-threshold only,none,0.0182330827067669,5
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,0.580331262939959,0.625327812284334,0.673706004140787,FALSE,TRUE,TRUE,,,,,,,,,,0.556245686680469,0.612905452035887,0.580917874396135,0.580331262939959,0.625327812284334,0.673706004140787,0.160002725597754,0.174700168034541,0.227573421246852,0.652173913043478,0.695652173913044,0.717391304347826,0.46031746031746,0.53015873015873,0.444444444444444,0.15,0.177777777777778,0.158653846153846,0.900621118012422,0.922651933701657,0.915032679738562,0.127423822714681,0.127423822714681,0.127423822714681,0.127423822714681,0.127423822714681,0.127423822714681,2,TITAN+ProvGigaPath,TITAN,TRUE,TRUE,union-positive and near-threshold,exactly two,0.019668737060041,6
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,0.648034398034398,0.608678483678484,0.646893646893647,TRUE,TRUE,TRUE,,,,,,,,,,0.616575991575992,0.569114162864163,0.610016672516673,0.648034398034398,0.608678483678484,0.646893646893647,0.552361469954749,0.504175021535347,0.532030784082593,0.522727272727273,0.539772727272727,0.602272727272727,0.71042471042471,0.598455598455599,0.617760617760618,0.550898203592814,0.477386934673367,0.517073170731707,0.686567164179104,0.656779661016949,0.695652173913044,0.404597701149425,0.404597701149425,0.404597701149425,0.404597701149425,0.404597701149425,0.404597701149425,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL,TRUE,TRUE,union-positive and near-threshold,all three,0.00867848367848401,7
binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,0.641234746888969,0.636039627884499,0.6443457774556,TRUE,TRUE,TRUE,,,,,,,,,,0.624093874592244,0.580010873504893,0.6707593330917,0.641234746888969,0.636039627884499,0.6443457774556,0.281140337872475,0.325045634722257,0.291906687284238,0.707865168539326,0.595505617977528,0.752808988764045,0.540322580645161,0.564516129032258,0.588709677419355,0.269230769230769,0.246511627906977,0.304545454545455,0.885462555066079,0.853658536585366,0.908713692946058,0.193058568329718,0.193058568329718,0.193058568329718,0.193058568329718,0.193058568329718,0.193058568329718,3,TITAN+GigaSSL+ProvGigaPath,TITAN,TRUE,TRUE,union-positive and near-threshold,all three,0.036039627884499,8
binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,0.567154203035307,0.550444287174648,0.573641582134151,FALSE,FALSE,FALSE,,,,,,,,,,0.546610835888968,0.526873476448848,0.551564834473539,0.567154203035307,0.550444287174648,0.573641582134151,0.401105458925254,0.364825936784718,0.363109216399915,0.420382165605096,0.54140127388535,0.54140127388535,0.67283950617284,0.512345679012346,0.561728395061729,0.383720930232558,0.349794238683128,0.374449339207049,0.705501618122977,0.697478991596639,0.716535433070866,0.326403326403326,0.326403326403326,0.326403326403326,0.326403326403326,0.326403326403326,0.326403326403326,0,None,TITAN,TRUE,FALSE,near-threshold only,none,0.026358417865849,9
binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,0.679126670431018,0.724411820063994,0.673329568981743,TRUE,TRUE,TRUE,,,,,,,,,,0.624562394127612,0.668040654997177,0.618162996423866,0.679126670431018,0.724411820063994,0.673329568981743,0.509866212706832,0.59278833868024,0.53327558876019,0.547826086956522,0.634782608695652,0.591304347826087,0.701298701298701,0.701298701298701,0.645021645021645,0.477272727272727,0.514084507042254,0.453333333333333,0.757009345794393,0.794117647058824,0.760204081632653,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,0.332369942196532,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,FALSE,TRUE,union-positive,all three,0.073329568981743,10
